InstName	DispName
60sElPno	60's Electric Piano
Balafone	~cp
BritPno	Bright Piano
BrtPnoK	Bright Piano K
Carillon	~cp
Celesta	~cp
Chor.EP1	Chorus Electric Piano 1
Chor.EP2	Chorus Electric Piano 2
ChrchBel	Church Bell
Cimbalom	~cp
ClaviWah	Clavichord Wah
ClvchrdK	Clavichord K
Clvichrd	Clavichord
Det.CP80	Detuned Yamaha CP-80
Dream	Dream
Dulcimer	~cp
Dulcmer2	Dulcimer 2
DX Analg	DX Analog
DX Hard	~cp
DX Kt EP	DX Koto Electric Piano
DX Legnd	DX Legend
DX Phase	~cp
EGndPnoK	Electric Grand Piano K
EGrndPno	Electric Grand Piano
ElPiano1	Electric Piano 1
ElPiano2	Electric Piano 2
EPiano1K	Electric Piano 1 K
EPiano2K	Electric Piano 2 K
Glocken	~cp
GrandPno	Acoustic Grand Piano
GrndPnoK	Acoustic Grand Piano K
HardEPno	Hard Electric Piano
HardVibe	Hard Vibraphone
HnkyTonk	Honky Tonk
HnkyTnkK	Honky Tonk K
HpschrdK	Harpsichord K
Hpschrd2	Harpsichord 2
Hpschrd3	Harpsichord 3
Hrpschrd	Harpsichord
LayerCP1	Yamaha Concert Piano 1
LayerCP2	Yamaha Concert Piano 2
Log Drum	~cp
Marimba	~cp
MarimbaK	Marimba K
MelloEP1	Mellow Electric Piano
MelloGrP	Mellow Grand Piano
MusicBox	Music Box
Orgel	Pipe Organ
PianoStr	Piano Strings
PlsClavi	Pulse Clavichord
PrcClavi	Pierce Clavichord
Santur	~cp
SMarimba	Sine Marimba
TubulBel	Tubular Bells
Vibes	Vibraphone
VibesK	Vibraphone K
VX EPno1	VX Electric Piano 1
VX EPno2	VX Electric Piano 2
Xylophon	Xylophone
